login_week,post_week_after_login,"weekly retention of users-sign up cohort"
17,0,740
17,1,472
17,2,324
17,3,251
17,4,205
17,5,187
17,6,167
17,7,146
17,8,145
17,9,145
17,10,136
17,11,131
17,12,132
17,13,143
17,14,116
17,15,91
17,16,82
17,17,77
17,18,5
18,0,788
18,1,362
18,2,261
18,3,203
18,4,168
18,5,147
18,6,144
18,7,127
18,8,113
18,9,122
18,10,106
18,11,118
18,12,127
18,13,110
18,14,97
18,15,85
18,16,67
18,17,4
19,0,601
19,1,284
19,2,173
19,3,153
19,4,114
19,5,95
19,6,91
19,7,81
19,8,95
19,9,82
19,10,68
19,11,65
19,12,63
19,13,42
19,14,51
19,15,49
19,16,2
20,0,555
20,1,223
20,2,165
20,3,121
20,4,91
20,5,72
20,6,63
20,7,67
20,8,63
20,9,65
20,10,67
20,11,41
20,12,40
20,13,33
20,14,40
21,0,495
21,1,187
21,2,131
21,3,91
21,4,74
21,5,63
21,6,75
21,7,72
21,8,58
21,9,48
21,10,45
21,11,39
21,12,35
21,13,28
21,14,2
22,0,521
22,1,224
22,2,150
22,3,107
22,4,87
22,5,73
22,6,63
22,7,60
22,8,55
22,9,48
22,10,41
22,11,39
22,12,31
22,13,1
23,0,542
23,1,219
23,2,138
23,3,101
23,4,90
23,5,79
23,6,69
23,7,61
23,8,54
23,9,47
23,10,35
23,11,30
24,0,535
24,1,205
24,2,143
24,3,102
24,4,81
24,5,63
24,6,65
24,7,61
24,8,38
24,9,39
24,10,29
25,0,500
25,1,218
25,2,139
25,3,101
25,4,75
25,5,63
25,6,50
25,7,46
25,8,38
25,9,35
25,10,2
26,0,495
26,1,181
26,2,114
26,3,83
26,4,73
26,5,55
26,6,47
26,7,43
26,8,29
27,0,493
27,1,199
27,2,121
27,3,106
27,4,68
27,5,53
27,6,40
27,7,36
27,8,1
28,0,486
28,1,194
28,2,114
28,3,69
28,4,46
28,5,30
28,6,28
28,7,3
29,0,501
29,1,186
29,2,102
29,3,65
29,4,47
29,5,40
29,6,1
30,0,533
30,1,202
30,2,121
30,3,78
30,4,53
30,5,3
31,0,430
31,1,145
31,2,76
31,3,57
31,4,1
32,0,496
32,1,188
32,2,94
32,3,8
33,0,499
33,1,202
33,2,9
34,0,518
34,1,44
35,0,32
