week_no,device,"weekly engagement per device"
17,"acer aspire desktop",67
17,"acer aspire notebook",206
17,"amazon fire phone",83
17,"asus chromebook",251
17,"dell inspiron desktop",187
17,"dell inspiron notebook",503
17,"hp pavilion desktop",132
17,"htc one",190
17,"ipad air",330
17,"ipad mini",205
17,"iphone 4s",217
17,"iphone 5",706
17,"iphone 5s",473
17,"kindle fire",57
17,"lenovo thinkpad",793
17,"mac mini",59
17,"macbook air",490
17,"macbook pro",1516
17,"nexus 10",145
17,"nexus 5",382
17,"nexus 7",177
17,"nokia lumia 635",128
17,"samsumg galaxy tablet",70
17,"samsung galaxy note",116
17,"samsung galaxy s4",449
17,"windows surface",87
18,"acer aspire desktop",295
18,"acer aspire notebook",363
18,"amazon fire phone",177
18,"asus chromebook",523
18,"dell inspiron desktop",683
18,"dell inspiron notebook",953
18,"hp pavilion desktop",373
18,"htc one",174
18,"ipad air",520
18,"ipad mini",309
18,"iphone 4s",448
18,"iphone 5",1328
18,"iphone 5s",778
18,"kindle fire",265
18,"lenovo thinkpad",1732
18,"mac mini",159
18,"macbook air",1604
18,"macbook pro",3301
18,"nexus 10",370
18,"nexus 5",938
18,"nexus 7",252
18,"nokia lumia 635",341
18,"samsumg galaxy tablet",79
18,"samsung galaxy note",139
18,"samsung galaxy s4",1130
18,"windows surface",107
19,"acer aspire desktop",242
19,"acer aspire notebook",406
19,"amazon fire phone",141
19,"asus chromebook",268
19,"dell inspiron desktop",444
19,"dell inspiron notebook",1193
19,"hp pavilion desktop",376
19,"htc one",270
19,"ipad air",595
19,"ipad mini",381
19,"iphone 4s",546
19,"iphone 5",1190
19,"iphone 5s",964
19,"kindle fire",225
19,"lenovo thinkpad",2143
19,"mac mini",255
19,"macbook air",1331
19,"macbook pro",3159
19,"nexus 10",232
19,"nexus 5",944
19,"nexus 7",334
19,"nokia lumia 635",215
19,"samsumg galaxy tablet",66
19,"samsung galaxy note",117
19,"samsung galaxy s4",1024
19,"windows surface",163
20,"acer aspire desktop",226
20,"acer aspire notebook",483
20,"amazon fire phone",104
20,"asus chromebook",461
20,"dell inspiron desktop",504
20,"dell inspiron notebook",975
20,"hp pavilion desktop",276
20,"htc one",365
20,"ipad air",611
20,"ipad mini",264
20,"iphone 4s",608
20,"iphone 5",1302
20,"iphone 5s",1024
20,"kindle fire",242
20,"lenovo thinkpad",2203
20,"mac mini",272
20,"macbook air",1443
20,"macbook pro",3097
20,"nexus 10",217
20,"nexus 5",1278
20,"nexus 7",372
20,"nokia lumia 635",151
20,"samsumg galaxy tablet",78
20,"samsung galaxy note",160
20,"samsung galaxy s4",1001
20,"windows surface",194
21,"acer aspire desktop",328
21,"acer aspire notebook",462
21,"amazon fire phone",29
21,"asus chromebook",550
21,"dell inspiron desktop",568
21,"dell inspiron notebook",955
21,"hp pavilion desktop",475
21,"htc one",260
21,"ipad air",428
21,"ipad mini",280
21,"iphone 4s",522
21,"iphone 5",1567
21,"iphone 5s",804
21,"kindle fire",355
21,"lenovo thinkpad",1893
21,"mac mini",281
21,"macbook air",1269
21,"macbook pro",3044
21,"nexus 10",258
21,"nexus 5",1020
21,"nexus 7",211
21,"nokia lumia 635",190
21,"samsumg galaxy tablet",63
21,"samsung galaxy note",196
21,"samsung galaxy s4",960
21,"windows surface",183
22,"acer aspire desktop",255
22,"acer aspire notebook",431
22,"amazon fire phone",46
22,"asus chromebook",631
22,"dell inspiron desktop",737
22,"dell inspiron notebook",1011
22,"hp pavilion desktop",371
22,"htc one",323
22,"ipad air",591
22,"ipad mini",342
22,"iphone 4s",477
22,"iphone 5",1394
22,"iphone 5s",920
22,"kindle fire",231
22,"lenovo thinkpad",1803
22,"mac mini",276
22,"macbook air",1714
22,"macbook pro",3046
22,"nexus 10",311
22,"nexus 5",1231
22,"nexus 7",433
22,"nokia lumia 635",308
22,"samsumg galaxy tablet",70
22,"samsung galaxy note",252
22,"samsung galaxy s4",1020
22,"windows surface",189
23,"acer aspire desktop",240
23,"acer aspire notebook",449
23,"amazon fire phone",181
23,"asus chromebook",671
23,"dell inspiron desktop",494
23,"dell inspiron notebook",1034
23,"hp pavilion desktop",655
23,"htc one",234
23,"ipad air",404
23,"ipad mini",258
23,"iphone 4s",459
23,"iphone 5",1748
