week_no,action,occurence,"Weekly Percentage Share"
17,email_clickthrough,166,11.39
17,email_open,310,21.28
17,sent_reengagement_email,73,5.01
17,sent_weekly_digest,908,62.32
18,email_clickthrough,430,10.49
18,email_open,912,22.24
18,sent_reengagement_email,157,3.83
18,sent_weekly_digest,2602,63.45
19,email_clickthrough,477,11.13
19,email_open,972,22.67
19,sent_reengagement_email,173,4.04
19,sent_weekly_digest,2665,62.16
20,email_clickthrough,507,11.43
20,email_open,1004,22.64
20,sent_reengagement_email,191,4.31
20,sent_weekly_digest,2733,61.62
21,email_clickthrough,443,9.97
21,email_open,1014,22.82
21,sent_reengagement_email,164,3.69
21,sent_weekly_digest,2822,63.52
22,email_clickthrough,488,10.66
22,email_open,987,21.56
22,sent_reengagement_email,192,4.19
22,sent_weekly_digest,2911,63.59
23,email_clickthrough,538,11.18
23,email_open,1075,22.34
23,sent_reengagement_email,197,4.09
23,sent_weekly_digest,3003,62.39
24,email_clickthrough,554,10.99
24,email_open,1155,22.92
24,sent_reengagement_email,226,4.48
24,sent_weekly_digest,3105,61.61
25,email_clickthrough,530,10.54
25,email_open,1096,21.79
25,sent_reengagement_email,196,3.90
25,sent_weekly_digest,3207,63.77
26,email_clickthrough,556,10.61
26,email_open,1165,22.22
26,sent_reengagement_email,219,4.18
26,sent_weekly_digest,3302,62.99
27,email_clickthrough,621,11.37
27,email_open,1228,22.49
27,sent_reengagement_email,213,3.90
27,sent_weekly_digest,3399,62.24
28,email_clickthrough,599,10.77
28,email_open,1250,22.48
28,sent_reengagement_email,213,3.83
28,sent_weekly_digest,3499,62.92
29,email_clickthrough,590,10.51
29,email_open,1219,21.71
29,sent_reengagement_email,213,3.79
29,sent_weekly_digest,3592,63.98
30,email_clickthrough,630,10.59
30,email_open,1383,23.24
30,sent_reengagement_email,231,3.88
30,sent_weekly_digest,3706,62.29
31,email_clickthrough,445,7.66
31,email_open,1351,23.25
31,sent_reengagement_email,222,3.82
31,sent_weekly_digest,3793,65.27
32,email_clickthrough,418,7.14
32,email_open,1337,22.85
32,sent_reengagement_email,200,3.42
32,sent_weekly_digest,3897,66.59
33,email_clickthrough,490,7.91
33,email_open,1432,23.10
33,sent_reengagement_email,264,4.26
33,sent_weekly_digest,4012,64.73
34,email_clickthrough,490,7.67
34,email_open,1528,23.91
34,sent_reengagement_email,261,4.08
34,sent_weekly_digest,4111,64.33
35,email_clickthrough,38,29.92
35,email_open,41,32.28
35,sent_reengagement_email,48,37.80
